"","time","type","avg_rent"
"1","2010-02","1 Bed",NA
"2","2010-03","1 Bed",NA
"3","2010-04","1 Bed",NA
"4","2010-05","1 Bed",NA
"5","2010-06","1 Bed",NA
"6","2010-07","1 Bed",NA
"7","2010-08","1 Bed",NA
"8","2010-09","1 Bed",NA
"9","2010-10","1 Bed",NA
"10","2010-11","1 Bed",NA
"11","2010-12","1 Bed",NA
"12","2011-01","1 Bed",NA
"13","2011-02","1 Bed",NA
"14","2011-03","1 Bed",NA
"15","2011-04","1 Bed",NA
"16","2011-05","1 Bed",NA
"17","2011-06","1 Bed",NA
"18","2011-07","1 Bed",NA
"19","2011-08","1 Bed",NA
"20","2011-09","1 Bed",NA
"21","2011-10","1 Bed",NA
"22","2011-11","1 Bed",NA
"23","2011-12","1 Bed",NA
"24","2012-01","1 Bed",NA
"25","2012-02","1 Bed",NA
"26","2012-03","1 Bed",NA
"27","2012-04","1 Bed",NA
"28","2012-05","1 Bed",NA
"29","2012-06","1 Bed",NA
"30","2012-07","1 Bed",NA
"31","2012-08","1 Bed",NA
"32","2012-09","1 Bed",NA
"33","2012-10","1 Bed",NA
"34","2012-11","1 Bed",NA
"35","2012-12","1 Bed",NA
"36","2013-01","1 Bed",NA
"37","2013-02","1 Bed",NA
"38","2013-03","1 Bed",NA
"39","2013-04","1 Bed",NA
"40","2013-05","1 Bed",NA
"41","2013-06","1 Bed",NA
"42","2013-07","1 Bed",NA
"43","2013-08","1 Bed",NA
"44","2013-09","1 Bed",NA
"45","2013-10","1 Bed",NA
"46","2013-11","1 Bed",NA
"47","2013-12","1 Bed",NA
"48","2014-01","1 Bed",NA
"49","2014-02","1 Bed",NA
"50","2014-03","1 Bed",NA
"51","2014-04","1 Bed",NA
"52","2014-05","1 Bed",NA
"53","2014-06","1 Bed",NA
"54","2014-07","1 Bed",NA
"55","2014-08","1 Bed",NA
"56","2014-09","1 Bed",NA
"57","2014-10","1 Bed",NA
"58","2014-11","1 Bed",NA
"59","2014-12","1 Bed",NA
"60","2015-01","1 Bed",NA
"61","2015-02","1 Bed",NA
"62","2015-03","1 Bed",NA
"63","2015-04","1 Bed",NA
"64","2015-05","1 Bed",NA
"65","2015-06","1 Bed",NA
"66","2015-07","1 Bed",NA
"67","2015-08","1 Bed",NA
"68","2015-09","1 Bed",NA
"69","2015-10","1 Bed",NA
"70","2015-11","1 Bed",NA
"71","2015-12","1 Bed",NA
"72","2016-01","1 Bed",NA
"73","2016-02","1 Bed",NA
"74","2016-03","1 Bed",NA
"75","2016-04","1 Bed",NA
"76","2016-05","1 Bed",NA
"77","2016-06","1 Bed",NA
"78","2016-07","1 Bed",NA
"79","2016-08","1 Bed",NA
"80","2016-09","1 Bed",NA
"81","2016-10","1 Bed",NA
"82","2016-11","1 Bed",NA
"83","2016-12","1 Bed",4.94446431406841
"84","2017-01","1 Bed",4.98439413218365
"85","2017-02","1 Bed",5.01762839017865
"86","2017-03","1 Bed",5.04182043865012
"87","2017-04","1 Bed",5.0319871689042
"88","2017-05","1 Bed",5.05927047681849
"89","2017-06","1 Bed",5.09495419918276
"90","2017-07","1 Bed",5.09433024130659
"91","2017-08","1 Bed",5.08001973273417
"92","2017-09","1 Bed",5.03167897791552
"93","2017-10","1 Bed",5.00479774083538
"94","2017-11","1 Bed",5.05068736255055
"95","2017-12","1 Bed",5.02153221903448
"96","2018-01","1 Bed",4.99148836492486
"97","2018-02","1 Bed",5.02185822675778
"98","2018-03","1 Bed",5.05826774454902
"99","2018-04","1 Bed",5.09774301808508
"100","2018-05","1 Bed",5.13784050891819
"101","2018-06","1 Bed",5.09839033622428
"102","2018-07","1 Bed",5.09564838629469
"103","2010-02","2 Bed",NA
"104","2010-03","2 Bed",NA
"105","2010-04","2 Bed",NA
"106","2010-05","2 Bed",NA
"107","2010-06","2 Bed",NA
"108","2010-07","2 Bed",NA
"109","2010-08","2 Bed",NA
"110","2010-09","2 Bed",NA
"111","2010-10","2 Bed",NA
"112","2010-11","2 Bed",NA
"113","2010-12","2 Bed",NA
"114","2011-01","2 Bed",NA
"115","2011-02","2 Bed",NA
"116","2011-03","2 Bed",NA
"117","2011-04","2 Bed",NA
"118","2011-05","2 Bed",NA
"119","2011-06","2 Bed",NA
"120","2011-07","2 Bed",NA
"121","2011-08","2 Bed",NA
"122","2011-09","2 Bed",NA
"123","2011-10","2 Bed",NA
"124","2011-11","2 Bed",NA
"125","2011-12","2 Bed",NA
"126","2012-01","2 Bed",NA
"127","2012-02","2 Bed",NA
"128","2012-03","2 Bed",NA
"129","2012-04","2 Bed",NA
"130","2012-05","2 Bed",NA
"131","2012-06","2 Bed",NA
"132","2012-07","2 Bed",NA
"133","2012-08","2 Bed",NA
"134","2012-09","2 Bed",NA
"135","2012-10","2 Bed",NA
"136","2012-11","2 Bed",NA
"137","2012-12","2 Bed",NA
"138","2013-01","2 Bed",NA
"139","2013-02","2 Bed",NA
"140","2013-03","2 Bed",NA
"141","2013-04","2 Bed",NA
"142","2013-05","2 Bed",NA
"143","2013-06","2 Bed",NA
"144","2013-07","2 Bed",NA
"145","2013-08","2 Bed",NA
"146","2013-09","2 Bed",NA
"147","2013-10","2 Bed",NA
"148","2013-11","2 Bed",NA
"149","2013-12","2 Bed",NA
"150","2014-01","2 Bed",NA
